"id_materia","nombre_materia","clave_alfa","hsm","ebc","id_carrera","cuatrimestre","n_unidades","integradora"
904,"ESTUDIO DE MERCADO","ESMER",NULL,"-",40,NULL,NULL,"-"
905,"ESTUDIO TECNICO","ETECN",NULL,"-",40,NULL,NULL,"-"
906,"ESTUDIOS FINANCIERO Y ECONOMICO","ESFEC",NULL,"-",40,NULL,NULL,"-"
907,"EVALUACION ECONOMICA Y FINANCIERA DE PROYECTOS","EEFPR",NULL,"-",40,NULL,NULL,"-"
908,"EXPRESION ORAL Y ESCRITA I","EXOE1",NULL,"-",40,NULL,NULL,"-"
909,"EXPRESION ORAL Y ESCRITA II","EXOE2",NULL,"-",40,NULL,NULL,"-"
910,"FORMACION SOCIOCULTURAL I","FOSO1",NULL,"-",40,NULL,NULL,"-"
911,"FORMACION SOCIOCULTURAL II","FOSO2",NULL,"-",40,NULL,NULL,"-"
912,"IDIOMA EXTRANJERO I","IDEX1",NULL,"-",40,NULL,NULL,"-"
913,"IDIOMA EXTRANJERO II","IDEX2",NULL,"-",40,NULL,NULL,"-"
914,"IDIOMA EXTRANJERO III","IDEX3",NULL,"-",40,NULL,NULL,"-"
915,"IDIOMA EXTRANJERO IV","IDEX4",NULL,"-",40,NULL,NULL,"-"
916,"IDIOMA EXTRANJERO V","IDEX5",NULL,"-",40,NULL,NULL,"-"
917,"INFORMATICA I","INFO1",NULL,"-",40,NULL,NULL,"-"
918,"INFORMATICA II","INFO2",NULL,"-",40,NULL,NULL,"-"
919,"INFORMATICA III","INFO3",NULL,"-",40,NULL,NULL,"-"
920,"MATEMATICAS I","MATE1",NULL,"-",40,NULL,NULL,"-"
921,"MATEMATICAS II","MATE2",NULL,"-",40,NULL,NULL,"-"
922,"MATEMATICAS III","MATE3",NULL,"-",40,NULL,NULL,"-"
923,"MERCADOTECNIA","MERCD",NULL,"-",40,NULL,NULL,"-"
924,"METODOLOGIA DE LA INVESTIGACION SOCIAL","MEINS",NULL,"-",40,NULL,NULL,"-"
925,"PLANEACION ESTRATEGICA Y PLAN DE NEGOCIOS","PEPNE",NULL,"-",40,NULL,NULL,"-"
926,"SISTEMAS DE PRODUCCION Y CONSERVACION AMBIENTAL","SPCAM",NULL,"-",40,NULL,NULL,"-"
927,"SISTEMAS Y PROCESOS ADMINISTRATIVOS","SYPAD",NULL,"-",40,NULL,NULL,"-"
928,"ADMINISTRACION DEL TIEMPO","IATIE",NULL,"-",41,NULL,NULL,"-"
930,"CALIDAD","CALID",NULL,"-",41,NULL,NULL,"-"
931,"CALCULO","CALCU",NULL,"-",41,NULL,NULL,"-"
932,"ELECTRONICA DIGITAL","ELDIG",NULL,"-",41,NULL,NULL,"-"
935,"FORMACION SOCIOCULTURAL I","FOSO1",NULL,"-",41,NULL,NULL,"-"
936,"FORMACION SOCIOCULTURAL II","FOSO2",NULL,"-",41,NULL,NULL,"-"
938,"IDIOMA EXTRANJERO I","IDEX1",NULL,"-",41,NULL,NULL,"-"
939,"IDIOMA EXTRANJERO II","IDEX2",NULL,"-",41,NULL,NULL,"-"
940,"IDIOMA EXTRANJERO III","IDEX3",NULL,"-",41,NULL,NULL,"-"
941,"IDIOMA EXTRANJERO IV","IDEX4",NULL,"-",41,NULL,NULL,"-"
942,"IDIOMA EXTRANJERO V","IDEX5",NULL,"-",41,NULL,NULL,"-"
943,"INGENIERIA ECONOMICA","IECON",NULL,"-",41,NULL,NULL,"-"
947,"INSTALACIONES INDUSTRIALES","IINDI",NULL,"-",41,NULL,NULL,"-"
950,"MAQUINAS ELECTRICAS","MAELE",NULL,"-",41,NULL,NULL,"-"
954,"METODOS Y SISTEMAS DE TRABAJO","MESTR",NULL,"-",41,NULL,NULL,"-"
955,"METROLOGIA","METRO",NULL,"-",41,NULL,NULL,"-"
961,"EXPRESION ORAL Y ESCRITA I","EXOE1",NULL,"-",41,NULL,NULL,"-"
962,"EXPRESION ORAL Y ESCRITA II","EXOE2",NULL,"-",41,NULL,NULL,"-"
963,"ADMINISTRACION DE LA PRODUCCION I","APRD1",NULL,"-",6,NULL,NULL,"-"
964,"ADMINISTRACION DE LA PRODUCCION II","APRD2",NULL,"-",6,NULL,NULL,"-"
965,"ADMINISTRACION DE LA PRODUCCION III","APRD3",NULL,"-",6,NULL,NULL,"-"
966,"ADMINISTRACION DE LA PRODUCCION IV","APRD4",NULL,"-",6,NULL,NULL,"-"
967,"ADMINISTRACION DEL MANTENIMIENTO","ADMAN",NULL,"-",6,NULL,NULL,"-"
968,"CALIDAD","CALID",NULL,"-",6,NULL,NULL,"-"
969,"DIBUJO VECTORIAL","DIVEC",NULL,"-",6,NULL,NULL,"-"
970,"DISEÑO BASICO","DISBA",NULL,"-",6,NULL,NULL,"-"
971,"DISEÑO Y PRODUCCION EDITORIAL","DPEDI",NULL,"-",6,NULL,NULL,"-"
972,"ELECTRONICA BASICA","ELBAS",NULL,"-",6,NULL,NULL,"-"
973,"EXPRESION ORAL Y ESCRITA I","EXOE1",NULL,"-",6,NULL,NULL,"-"
974,"EXPRESION ORAL Y ESCRITA II","EXOE2",NULL,"-",6,NULL,NULL,"-"
975,"FISICA","FISIC",NULL,"-",6,NULL,NULL,"-"
976,"FORMACION SOCIOCULTURAL I","FOSO1",NULL,"-",6,NULL,NULL,"-"
977,"FORMACION SOCIOCULTURAL II","FOSO2",NULL,"-",6,NULL,NULL,"-"
978,"FOTOMECANICA I","FOTO1",NULL,"-",6,NULL,NULL,"-"
979,"FOTOMECANICA II","FOTO2",NULL,"-",6,NULL,NULL,"-"
980,"IDIOMA EXTRANJERO","IDEX",NULL,"-",6,NULL,NULL,"-"
981,"IDIOMA EXTRANJERO P/ING I","IEXI1",NULL,"-",6,NULL,NULL,"-"
982,"IDIOMA EXTRANJERO P/ING II","IEXI2",NULL,"-",6,NULL,NULL,"-"
983,"IDIOMA EXTRANJERO P/ING III","IEXI3",NULL,"-",6,NULL,NULL,"-"
